id_loja;nome_da_loja;quantidade_colaboradores;tipo;id_localidade;gerente_loja;documento_gerente;país;continente
1;Loja Seattle No.1;17;Física;1;João Gonçalves;666418406;Estados Unidos;América do Norte
2;Loja Seattle No.2;25;Física;1;Fernanda Pinheiro;782269727;Estados Unidos;América do Norte
3;Loja Kennewick;26;Física;1;Rodrigo Alves;566476645;Estados Unidos;América do Norte
4;Loja Bellevue;19;Física;1;Raissa Costa;598832615;Estados Unidos;América do Norte
5;Loja Redmond;33;Física;1;Felipe Monteiro;200191505;Estados Unidos;América do Norte
6;Loja Yakima;47;Física;1;Mariana Lobo;258070696;Estados Unidos;América do Norte
7;Loja Granger;22;Física;1;Vinicius Dantas;137257008;Estados Unidos;América do Norte
8;Loja Sunnyside;17;Física;1;Thomaz Koch;148283535;Estados Unidos;América do Norte
9;Loja Toppenish;25;Física;1;Adrielle Guimaraes;757556625;Estados Unidos;América do Norte
10;Loja Wapato;25;Física;1;Mariana Sobanski;772151648;Estados Unidos;América do Norte
11;Loja Cle Elum;26;Física;1;Livia Machado;438015135;Estados Unidos;América do Norte
13;Loja Snoqualmie;33;Física;1;Bruna Oliva;458643508;Estados Unidos;América do Norte
14;Loja Fall City;47;Física;1;Andre Pallotta;293551216;Estados Unidos;América do Norte
15;Loja Renton;22;Física;1;Victoria Quintana;150585293;Estados Unidos;América do Norte
16;Loja Everett;17;Física;1;Luiz Wancelotti;682882258;Estados Unidos;América do Norte
17;Loja Spokane;25;Física;1;Carolina Amaro;216921175;Estados Unidos;América do Norte
18;Loja Veradale;26;Física;1;Aline Martins;550162476;Estados Unidos;América do Norte
20;Loja Englewood;33;Física;1;Mylena Blanquez;622602258;Estados Unidos;América do Norte
21;Loja Wheat Ridge;47;Física;1;Audir Santos;658086597;Estados Unidos;América do Norte
22;Loja Westminster;22;Física;2;Lucas Andrade;398404937;Canadá;América do Norte
23;Loja Grand Junction;17;Física;1;Átila Wassem;283231970;Estados Unidos;América do Norte
24;Loja New Castle;25;Física;1;Vinicius Alves;496323922;Estados Unidos;América do Norte
25;Loja Greeley No.1;25;Física;1;Lucas Cordeiro;391200910;Estados Unidos;América do Norte
26;Loja Loveland;26;Física;1;Cícero Pretti;517979422;Estados Unidos;América do Norte
27;Loja Lafayette;19;Física;1;Juliana Araújo;958599604;Estados Unidos;América do Norte
28;Loja Castle Rock;33;Física;1;Vitor Cardozo;383187294;Estados Unidos;América do Norte
30;Loja Fort Collins;22;Física;1;João Magalhães;710773314;Estados Unidos;América do Norte
31;Loja Greeley No.2;17;Física;1;Mylena Quintana;703600407;Estados Unidos;América do Norte
32;Loja Milliken;25;Física;1;José Condé;656196435;Estados Unidos;América do Norte
33;Loja Berthoud;26;Física;1;Victor Rodrigues;725440447;Estados Unidos;América do Norte
34;Loja Denver No.1;26;Física;1;Lucas Cotta;192837467;Estados Unidos;América do Norte
35;Loja Denver No.2;19;Física;1;Paulo Silveira;126592536;Estados Unidos;América do Norte
36;Loja Denver No.3;33;Física;1;Amanda Goncalves;137497733;Estados Unidos;América do Norte
37;Loja Boulder;47;Física;1;Jéssica Grippe;637536440;Estados Unidos;América do Norte
38;Loja Thornton;22;Física;1;João Therezo;459664769;Estados Unidos;América do Norte
39;Loja Littleton;17;Física;1;Patrick Andrade;820819434;Estados Unidos;América do Norte
40;Loja Aurora;25;Física;1;João Porto;535707685;Estados Unidos;América do Norte
41;Loja Parker;26;Física;1;Vitor Rossini;233971955;Estados Unidos;América do Norte
42;Loja Green Bay;19;Física;1;Giuseppe Faccin;784596643;Estados Unidos;América do Norte
43;Loja Appleton;33;Física;1;Hanna Pires;148808289;Estados Unidos;América do Norte
44;Loja Menasha;47;Física;1;João Walter;350727716;Estados Unidos;América do Norte
45;Loja Oshkosh;22;Física;1;Jessica Ferreira;472025954;Estados Unidos;América do Norte
46;Loja Fond du Lac;17;Física;1;Gil Feliciano;431015240;Estados Unidos;América do Norte
47;Loja Milwaukee No.1;25;Física;1;Jessica Arruda;632618369;Estados Unidos;América do Norte
49;Loja Milwaukee No.3;26;Física;1;Jessica Favoretto;648342376;Estados Unidos;América do Norte
50;Loja Waukesha No.1;19;Física;1;Lorena Nohara;749372644;Estados Unidos;América do Norte
51;Loja Racine No.1;33;Física;1;Aline Simões;441540643;Estados Unidos;América do Norte
52;Loja Burlington;47;Física;1;João Barbosa;442085397;Estados Unidos;América do Norte
53;Loja East Troy;22;Física;1;Andre Lemos;248831332;Estados Unidos;América do Norte
54;Loja Waukesha No.2;17;Física;1;Poline Oliveira;996214585;Estados Unidos;América do Norte
55;Loja Germantown;25;Física;1;Marcelo Braun;676041953;Estados Unidos;América do Norte
57;Loja Port Washington;26;Física;1;Alberto Diniz;213808369;Estados Unidos;América do Norte
58;Loja Sheboygan;19;Física;1;Rodrigo Mayer;457065191;Estados Unidos;América do Norte
59;Loja Manitowoc;33;Física;1;Fernanda Ribeiro;443194701;Estados Unidos;América do Norte
60;Loja Madison;47;Física;1;Adelino Wiener;699395364;Estados Unidos;América do Norte
61;Loja Oregon;22;Física;1;Roberta Oliva;274064609;Estados Unidos;América do Norte
63;Loja Edgerton;25;Física;1;Aline Fernandes;395943763;Estados Unidos;América do Norte
64;Loja Fort Atkinson;26;Física;1;Fernanda Figueira;533133364;Estados Unidos;América do Norte
65;Loja Racine No.2;19;Física;1;Roberta Junqueira;922690535;Estados Unidos;América do Norte
66;Loja Houston No.1;33;Física;1;Marcelo Ferreira;650601944;Estados Unidos;América do Norte
